url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,114,32
/awslabs/assisted-log-enabler-for-aws/pulls,86,13
/awslabs/assisted-log-enabler-for-aws/issues,79,11
/awslabs/assisted-log-enabler-for-aws/actions,5,3
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,5,2
/awslabs/assisted-log-enabler-for-aws/pull/65,4,3
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_permissions_example_multi_account.json,4,2
/awslabs/assisted-log-enabler-for-aws/commit/2b3842075a3b8d8e08579b772ffd0b1ebcb8e214,4,2
/awslabs/assisted-log-enabler-for-aws/commits,4,2
/awslabs/assisted-log-enabler-for-aws/commit/8b6c63feabc27579e21247ed2f2ba4e459a9ad55,4,1
