time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-12 00:00:00+00:00,41,8,5.0,5.0
2023-06-13 00:00:00+00:00,8,7,6.0,5.0
2023-06-14 00:00:00+00:00,11,10,12.0,8.0
2023-06-15 00:00:00+00:00,8,7,5.0,3.0
2023-06-16 00:00:00+00:00,8,7,18.0,17.0
2023-06-17 00:00:00+00:00,6,5,2.0,2.0
2023-06-18 00:00:00+00:00,5,4,,
2023-06-19 00:00:00+00:00,17,6,7.0,7.0
2023-06-20 00:00:00+00:00,10,5,8.0,6.0
2023-06-21 00:00:00+00:00,6,5,10.0,8.0
2023-06-22 00:00:00+00:00,12,8,4.0,4.0
2023-06-23 00:00:00+00:00,7,5,8.0,7.0
2023-06-24 00:00:00+00:00,9,6,5.0,4.0
2023-06-25 00:00:00+00:00,5,4,,
