time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,7,7,41,6
2026-02-25 00:00:00+00:00,19,11,2,2
2026-02-26 00:00:00+00:00,11,7,7,3
2026-02-27 00:00:00+00:00,15,7,8,5
2026-02-28 00:00:00+00:00,24,11,6,1
2026-03-01 00:00:00+00:00,21,13,13,4
2026-03-02 00:00:00+00:00,17,9,12,2
2026-03-03 00:00:00+00:00,10,6,9,5
2026-03-04 00:00:00+00:00,26,11,16,5
2026-03-05 00:00:00+00:00,23,11,12,5
2026-03-06 00:00:00+00:00,12,8,14,7
2026-03-07 00:00:00+00:00,16,8,7,3
2026-03-08 00:00:00+00:00,23,11,54,5
2026-03-09 00:00:00+00:00,16,8,30,5
