time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,12,8,37,9
2026-04-04 00:00:00+00:00,15,11,55,9
2026-04-05 00:00:00+00:00,27,13,112,11
2026-04-06 00:00:00+00:00,12,8,44,13
2026-04-07 00:00:00+00:00,11,7,43,11
2026-04-08 00:00:00+00:00,24,11,40,9
2026-04-09 00:00:00+00:00,25,12,8,4
2026-04-10 00:00:00+00:00,21,8,14,5
2026-04-11 00:00:00+00:00,77,21,23,5
2026-04-12 00:00:00+00:00,29,13,61,5
2026-04-13 00:00:00+00:00,25,12,78,11
2026-04-14 00:00:00+00:00,30,13,57,12
2026-04-15 00:00:00+00:00,7,7,56,8
2026-04-16 00:00:00+00:00,45,15,47,20
