url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,156,76
/awslabs/assisted-log-enabler-for-aws/issues,57,9
/awslabs/assisted-log-enabler-for-aws/forks,52,8
/awslabs/assisted-log-enabler-for-aws/pulls,39,10
/awslabs/assisted-log-enabler-for-aws/actions,16,3
/awslabs/assisted-log-enabler-for-aws/graphs/commit-activity,15,8
/awslabs/assisted-log-enabler-for-aws/stargazers,13,6
/awslabs/assisted-log-enabler-for-aws/activity,7,3
/awslabs/assisted-log-enabler-for-aws/labels,7,3
/awslabs/assisted-log-enabler-for-aws/tree/main/diagrams,6,5
