url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,571,448
/awslabs/assisted-log-enabler-for-aws/tree/main/subfunctions,15,13
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,10,3
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,9,9
/awslabs/assisted-log-enabler-for-aws/blob/main/subfunctions/ALE_dryrun_single.py,9,4
/awslabs/assisted-log-enabler-for-aws/blob/main/subfunctions/ALE_single_account.py,4,4
/awslabs/assisted-log-enabler-for-aws/tree/main/permissions,4,4
/awslabs/assisted-log-enabler-for-aws/blob/main/.github/workflows/github-repo-stats.yml,4,2
/awslabs/assisted-log-enabler-for-aws/tree/main/diagrams,3,3
/awslabs/assisted-log-enabler-for-aws/commit/2b3842075a3b8d8e08579b772ffd0b1ebcb8e214,3,2
