time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-16 00:00:00+00:00,3,3,60,7
2024-09-17 00:00:00+00:00,4,4,9,7
2024-09-18 00:00:00+00:00,5,4,16,9
2024-09-19 00:00:00+00:00,7,4,62,10
2024-09-20 00:00:00+00:00,2,2,60,6
2024-09-21 00:00:00+00:00,3,3,70,9
2024-09-22 00:00:00+00:00,2,2,228,7
2024-09-23 00:00:00+00:00,2,2,66,7
2024-09-24 00:00:00+00:00,4,4,15,10
2024-09-25 00:00:00+00:00,2,2,7,6
2024-09-26 00:00:00+00:00,2,2,9,6
2024-09-27 00:00:00+00:00,4,3,12,5
2024-09-28 00:00:00+00:00,1,1,20,6
2024-09-29 00:00:00+00:00,3,3,136,6
