time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-28 00:00:00+00:00,1,1,20,6
2024-09-29 00:00:00+00:00,3,3,139,6
2024-09-30 00:00:00+00:00,1,1,21,7
2024-10-01 00:00:00+00:00,4,3,22,10
2024-10-02 00:00:00+00:00,6,3,22,12
2024-10-03 00:00:00+00:00,2,2,9,7
2024-10-04 00:00:00+00:00,5,3,8,5
2024-10-05 00:00:00+00:00,2,2,24,5
2024-10-06 00:00:00+00:00,1,1,38,8
2024-10-07 00:00:00+00:00,7,4,12,5
2024-10-08 00:00:00+00:00,5,4,13,9
2024-10-09 00:00:00+00:00,3,3,15,9
2024-10-10 00:00:00+00:00,4,3,13,6
2024-10-11 00:00:00+00:00,1,1,5,4
