url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,173,57
/awslabs/assisted-log-enabler-for-aws/issues,30,5
/awslabs/assisted-log-enabler-for-aws/pulls,25,5
/awslabs/assisted-log-enabler-for-aws/forks,6,2
/awslabs/assisted-log-enabler-for-aws/graphs/commit-activity,5,2
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler.png,3,3
/awslabs/assisted-log-enabler-for-aws/actions,3,2
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,3,2
/awslabs/assisted-log-enabler-for-aws/commits/main,3,2
/awslabs/assisted-log-enabler-for-aws/tree/main/diagrams,2,2
