time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-07 00:00:00+00:00,14,6,10.0,9.0
2023-02-08 00:00:00+00:00,6,4,10.0,7.0
2023-02-09 00:00:00+00:00,4,4,12.0,11.0
2023-02-10 00:00:00+00:00,4,4,5.0,5.0
2023-02-11 00:00:00+00:00,5,5,7.0,4.0
2023-02-12 00:00:00+00:00,18,6,4.0,4.0
2023-02-13 00:00:00+00:00,5,5,24.0,7.0
2023-02-14 00:00:00+00:00,4,4,10.0,8.0
2023-02-15 00:00:00+00:00,7,6,4.0,3.0
2023-02-16 00:00:00+00:00,4,4,12.0,7.0
2023-02-17 00:00:00+00:00,5,5,18.0,9.0
2023-02-18 00:00:00+00:00,2,2,,
2023-02-19 00:00:00+00:00,3,3,,
2023-02-20 00:00:00+00:00,4,4,7.0,4.0
