url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,396,313
/awslabs/assisted-log-enabler-for-aws/tree/main/subfunctions,11,9
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,10,3
/awslabs/assisted-log-enabler-for-aws/blob/main/subfunctions/ALE_dryrun_single.py,9,4
/awslabs/assisted-log-enabler-for-aws/pull/39,8,4
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,5,5
/awslabs/assisted-log-enabler-for-aws/blob/main/.github/workflows/github-repo-stats.yml,4,2
/awslabs/assisted-log-enabler-for-aws/blob/main/subfunctions/ALE_single_account.py,3,3
/awslabs/assisted-log-enabler-for-aws/commit/2b3842075a3b8d8e08579b772ffd0b1ebcb8e214,3,2
/awslabs/assisted-log-enabler-for-aws/pull/39/files,3,2
