url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,123,57
/awslabs/assisted-log-enabler-for-aws/pulls,20,4
/awslabs/assisted-log-enabler-for-aws/issues,17,4
/awslabs/assisted-log-enabler-for-aws/forks,9,5
/awslabs/assisted-log-enabler-for-aws/graphs/commit-activity,7,4
/awslabs/assisted-log-enabler-for-aws/blob/main/README.md,5,4
/awslabs/assisted-log-enabler-for-aws/actions,4,3
/awslabs/assisted-log-enabler-for-aws/commits/main,4,3
/awslabs/assisted-log-enabler-for-aws/tree/main/diagrams,4,2
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,3,3
